trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN15941F3162202:2024-06-26T00:35:36Z,13:55:00,13:56:00,StopPoint:OCEINTERCITES-87734871,4,,0,0,
OCESN15941F3162202:2024-06-26T00:35:36Z,14:19:00,14:19:00,StopPoint:OCEINTERCITES-87645507,5,,1,0,
OCESN15941F3205320:2024-05-22T00:27:26Z,12:49:00,12:49:00,StopPoint:OCEINTERCITES-87734004,0,,0,1,
OCESN15941F3205320:2024-05-22T00:27:26Z,13:13:00,13:14:00,StopPoint:OCEINTERCITES-87734202,1,,0,0,
OCESN15941F3205320:2024-05-22T00:27:26Z,13:26:00,13:27:00,StopPoint:OCEINTERCITES-87734244,2,,0,0,
OCESN15941F3205320:2024-05-22T00:27:26Z,13:32:00,13:33:00,StopPoint:OCEINTERCITES-87734251,3,,0,0,
OCESN15941F3205320:2024-05-22T00:27:26Z,13:53:00,13:54:00,StopPoint:OCEINTERCITES-87734871,4,,0,0,
OCESN15941F3205320:2024-05-22T00:27:26Z,14:19:00,14:19:00,StopPoint:OCEINTERCITES-87645507,5,,1,0,
OCESN15944F3163070:2024-06-26T00:35:36Z,14:44:00,14:44:00,StopPoint:OCEINTERCITES-87645507,0,,0,1,
OCESN15944F3163070:2024-06-26T00:35:36Z,15:07:00,15:08:00,StopPoint:OCEINTERCITES-87734871,1,,0,0,
OCESN15944F3163070:2024-06-26T00:35:36Z,15:26:00,15:27:00,StopPoint:OCEINTERCITES-87734251,2,,0,0,
OCESN15944F3163070:2024-06-26T00:35:36Z,15:32:00,15:33:00,StopPoint:OCEINTERCITES-87734244,3,,0,0,
OCESN15944F3163070:2024-06-26T00:35:36Z,15:45:00,15:46:00,StopPoint:OCEINTERCITES-87734202,4,,0,0,
OCESN15944F3163070:2024-06-26T00:35:36Z,16:11:00,16:11:00,StopPoint:OCEINTERCITES-87734004,5,,1,0,
OCESN15944F3202620:2024-05-22T00:27:26Z,14:44:00,14:44:00,StopPoint:OCEINTERCITES-87645507,0,,0,1,
OCESN15944F3202620:2024-05-22T00:27:26Z,15:09:00,15:10:00,StopPoint:OCEINTERCITES-87734871,1,,0,0,
OCESN15944F3202620:2024-05-22T00:27:26Z,15:28:00,15:29:00,StopPoint:OCEINTERCITES-87734251,2,,0,0,
OCESN15944F3202620:2024-05-22T00:27:26Z,15:34:00,15:35:00,StopPoint:OCEINTERCITES-87734244,3,,0,0,
OCESN15944F3202620:2024-05-22T00:27:26Z,15:47:00,15:48:00,StopPoint:OCEINTERCITES-87734202,4,,0,0,
OCESN15944F3202620:2024-05-22T00:27:26Z,16:13:00,16:13:00,StopPoint:OCEINTERCITES-87734004,5,,1,0,
OCESN15945F3074873:2024-04-16T00:31:58Z,15:39:00,15:39:00,StopPoint:OCEINTERCITES-87783241,0,,0,1,
OCESN15945F3074873:2024-04-16T00:31:58Z,15:51:00,15:52:00,StopPoint:OCEINTERCITES-87783266,1,,0,0,
OCESN15945F3074873:2024-04-16T00:31:58Z,16:16:00,16:17:00,StopPoint:OCEINTERCITES-87783282,2,,0,0,
OCESN15945F3074873:2024-04-16T00:31:58Z,16:24:00,16:25:00,StopPoint:OCEINTERCITES-87783308,3,,0,0,
OCESN15945F3074873:2024-04-16T00:31:58Z,16:37:00,16:38:00,StopPoint:OCEINTERCITES-87783324,4,,0,0,
